UR,KLUB,,,R1,R2,R3,R4,R5,R6,R7,,,,PKT,M
POL 9020,Jakub Pawluk,Marcin Józefowski,Legia Warszawa,3,1,4*,1,1,1,2,,1985,1986,9,1
POL 9170,Karol Milewski,Jan Siekierzyński,YK Stal,5,2,2,DNS*,2,2,1,,1985,1986,14,2
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,1,3,1,2,4*,4,4,,1989,1989,15,3
POL 9132,Przemek Zagórski,Michał Olko,Yacht Klub Stal Gdynia,2,4,5,3,3,7*,3,,1983,1977,20,4
POL 8875,Dariusz Konopczak,Paweł Henszke,Centrum Żeglarskie Szczecin,4,8*,3,6,8,6,5,,1961,1980,32,5
POL 8145,Paweł Kluczyński,Władysław Kondej,AZS Poznań,7,9*,6,8,6,3,7,,2000,2000,37,6
POL 8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA,6,7,7,4,5,8,9*,Polskie Stowarzyszenie Klasy 505,1978,1978,37,7
POL 8769,Michał Ruciński,Bartosz Sadowski,Akademicki Klub Morski Gdańsk,9*,6,8,7,9,5,6,Polskie Stowarzyszenie Klasy 505,2012,2019,41,8
POL 8665,Marcin Panek,Jakub Grabowski,Niezrzeszony,8,10,RET*,5,7,9,8,,1983,1990,47,9
POL 8802,Dominik Ostrowski,Stefan Romanik,MIĘDZYSZKOLNY KLUB SPORTOWY DWÓJKA,DNS*,5,DSQ,DNF,10,11,11,K.S Spójnia - Warszawa,1976,1986,67,10
POL 8212,Anna Jabłońska,Andrzej Zdrojek,Brak,DNF*,DNF,DNF,9,DNF,10,10,Polskie Stowarzyszenie Klasy 505,1975,1973,74,11
POL 8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,DNF*,11,DNF,DNF,DNF,13,13,,1980,1980,82,12
POL 8770,Jakub Gąsiorowski,Karolina Gąsiorowska,Yacht Klub Stal Gdynia,DNF*,DNF,DNF,DNF,DNF,12,12,,1976,1975,84,13
POL 8490,Marcin Pfeiffer,Dominik Narloch,AA,10,DNF*,DNF,DNF,DNF,RET,DNC,,1997,1997,85,14
