Sail #,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,R8,R9,Σ,Regatta Rank
DEN 8964,Jan Saugmann,Gorge,,9,14,10,3,1,6,2,22,3,34,1
DEN 9062,Bojsen-Møller,Bojsen-Møller,,13,5,13,8,7,2,1,29,2,38,2
GER 9090,Kellner,Schoeler,,2,2,2,7,35,14,3,8,DNC,38,3
GER 9054,Bogacki,Dehne,,8,3,6,50,11,7,11,1,28,47,4
GER 8992,Lehmann,Oehme,,27,17,11,5,5,21,5,9,7,59,5
GER 9071,Wolfgang Hunger,Kleiner,,11,1,DSQ,22,2,8,44,5,11,60,6
AUS 8901,Nicholas,Payne,,6,18,1,47,6,29,18,4,8,61,7
GER 9035,Bohm,Na,,1,15,31,9,14,57,10,2,13,64,8
GER 8875,Jens Findel,Johannes Tellen,,10,4,8,6,18,66,24,6,30,76,9
GBR 9094,Pinnell,Mitchell,,3,6,9,60,37,15,7,38,1,78,10
USA 9091,Conrads,Haines,,20,7,16,1,12,3,39,21,21,80,11
FRA 9067,Loyal,Nevo,,19,19,5,24,36,1,4,DNF,12,84,12
DEN 8958,Hoffmann Buhl,Henrik Buhl,,15,10,4,13,55,18,15,31,9,84,13
USA 9007,Moore,Ewenson,,22,12,12,12,4,19,13,17,18,88,14
GER 9102,Schomaker,Holger,,17,16,3,21,13,4,20,18,27,91,15
USA 9080,Hamlin,Zinn,,12,9,14,25,15,5,21,44,24,100,16
GER 9059,Heyer,Salein,,30,DNF,29,2,16,13,6,60,6,102,17
FRA 9076,Broise,Des Jamonieres,,14,33,17,62,19,24,17,10,4,105,18
USA 9002,Mike Holt,Carl Smit,,5,11,20,DSQ,21,45,25,14,14,110,19
USA 8808,Diaz,Lawrence,,31,22,30,11,26,9,19,7,40,124,20
GBR 9088,Smith,Needham,,4,8,DSQ,19,32,28,33,11,56,135,21
USA 8722,Nelson,Barclay,,24,41,15,10,22,20,29,28,17,136,22
USA 8715,Bixby,Brady,,37,25,22,15,20,22,28,99,20,152,23
SWE 8926,Ebbe Rosén,Olle Wenrup,,35,13,48,4,44,38,9,82,19,162,24
FRA 9075,Boite,Gallo,,7,40,28,61,10,16,8,53,DSQ,162,25
AUS 9036,Quink,Roos,,16,20,7,48,17,47,31,26,45,162,26
FRA 8900,Gubri,Di Pede,,DNF,57,60,16,3,27,47,3,32,185,27
GBR 9057,Lewis,Persons,,25,27,33,20,52,35,26,19,36,185,28
GER 8990,Achterberg,Stuecki,,18,48,18,23,24,49,54,35,23,189,29
FRA 9050,De Kergariou,Geron,,36,36,27,51,47,12,23,52,10,191,30
GER 8940,Kittsteiner,Stieglite,,26,30,47,45,70,25,56,13,16,202,31
