Competitor,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,Σ,,Regatta Rank
 DEN8964,SAUGMANN,GORGE,9,14,10,3,1,6,2,22,3,34,1
 DEN9062,BOJSEN-MOLLER,BOJSEN-MOLLER,13,5,13,8,7,2,1,29,2,38,2
 GER9090,KELLNER,SCHOELER,2,2,2,7,35,14,3,8,DNC,38,3
 GER9054,BOGACKI,DEHNE,8,3,6,50,11,7,11,1,28,47,4
 GER8992,LEHMANN,OEHME,27,17,11,5,5,21,5,9,7,59,5
 GER9071,HUNGER,KLEINER,11,1,DSQ,22,2,8,44,5,11,60,6
 AUS8901,NICHOLAS,PAYNE,6,18,1,47,6,29,18,4,8,61,7
 GER9035,BOHM,NA,1,15,31,9,14,57,10,2,13,64,8
 GER8875,FINDEL,TELLEN,10,4,8,6,18,66,24,6,30,76,9
 GBR9094,PINNELL,MITCHELL,3,6,9,60,37,15,7,38,1,78,10
 USA9091,CONRADS,HAINES,20,7,16,1,12,3,39,21,21,80,11
 FRA9067,LOYAL,NEVO,19,19,5,24,36,1,4,DNF,12,84,12
 DEN8958,BUHL,BUHL,15,10,4,13,55,18,15,31,9,84,13
 USA9007,MOORE,EWENSON,22,12,12,12,4,19,13,17,18,88,14
 GER9102,SCHOMAKER,HOLGER,17,16,3,21,13,4,20,18,27,91,15
 USA9080,HAMLIN,ZINN,12,9,14,25,15,5,21,44,24,100,16
 GER9059,HEYER,SALEIN,30,DNF,29,2,16,13,6,60,6,102,17
 FRA9076,BROISE,DES JAMONIERES,14,33,17,62,19,24,17,10,4,105,18
 USA9002,HOLT,SMIT,5,11,20,DSQ,21,45,25,14,14,110,19
 USA8808,DIAZ,LAWRENCE,31,22,30,11,26,9,19,7,40,124,20
 GBR9088,SMITH,NEEDHAM,4,8,DSQ,19,32,28,33,11,56,135,21
 USA8722,NELSON,BARCLAY,24,41,15,10,22,20,29,28,17,136,22
 USA8715,BIXBY,BRADY,37,25,22,15,20,22,28,99,20,152,23
 SWE8926,ROSEN,WENRUP,35,13,48,4,44,38,9,82,19,162,24
 FRA9075,BOITE,GALLO,7,40,28,61,10,16,8,53,DSQ,162,25
 AUS9036,QUINK,ROOS,16,20,7,48,17,47,31,26,45,162,26
 FRA8900,GUBRI,DI PEDE,DNF,57,60,16,3,27,47,3,32,185,27
 GBR9057,LEWIS,PERSONS,25,27,33,20,52,35,26,19,36,185,28
 GER8990,ACHTERBERG,STUECKI,18,48,18,23,24,49,54,35,23,189,29
 FRA9050,DE KERGARIOU,GERON,36,36,27,51,47,12,23,52,10,191,30
 GER8940,KITTSTEINER,STIEGLITE,26,30,47,45,70,25,56,13,16,202,31
 DEN8440,C HRISTIANSEN,CHRISTIANSEN,38,35,34,26,48,40,12,32,33,210,32
 SUI9096,BART,GROB,54,26,43,27,25,10,63,59,26,211,33
 GBR8963,HODGSON,MILES,29,21,44,38,49,65,34,20,25,211,34
 GBR9085,HART,HART,41,49,24,57,28,23,37,15,59,217,35
 USA8083,BARRY,BARROWS,32,31,36,70,8,78,40,40,31,218,36
 FRA8716,MARTIN,TOUPET,DSQ,53,82,14,31,17,42,24,38,219,37
 USA9041,AMTHOR,DUSTIN,65,38,23,44,9,34,32,77,48,228,38
 AUS8801,CHAPPELL,CASTLES,34,28,25,94,27,51,35,58,42,242,39
 SUI8954,MARTI,JACOT,28,50,39,46,34,42,38,30,34,245,40
 FRA8904,MARTIN,LAFORTUNE,77,46,52,49,33,44,22,51,5,250,41
 GER9040,DASENBROOK,MEIER,55,42,38,28,54,46,14,43,54,265,42
 RSA8486,FUNKE,FUNKE,39,70,58,37,61,26,36,12,62,269,43
 SUI8569,BETSCHEN,HOLLINGER,21,DNF,19,56,74,69,59,16,29,269,44
 AUS8817,HAGAN,DUFFIELD,33,39,35,78,86,59,27,42,39,274,45
 GER8975,HOLZAPFEL,WORM,DSQ,29,26,31,23,56,88,89,22,275,46
 USA9009,EDWARDS,SHELTON,23,24,21,52,38,58,DSQ,72,65,281,47
 GER9011,DAISENBERGER,NISSEN,42,44,32,34,62,36,58,67,44,290,48
 USA8830,CONDON,DUNNE,51,67,45,42,40,11,73,63,41,293,49
 GER8928,SCHWEIGER,KOCH,62,55,76,35,57,43,16,48,46,300,50
 GER9100,SCHULTZ,OBERLANDER,61,58,55,17,56,41,53,36,52,310,51
 FIN8768,NIEMINEN,SALONEN,56,47,46,55,45,32,DSQ,33,DSQ,314,52
 GER9026,PLATTNER,ALARIE,44,23,56,86,29,55,90,102,37,330,53
 FRA8870,SILVESTRE,AUBERGER,68,97,74,18,60,48,78,54,15,337,54
 GBR8835,WALTERS,CRAM,45,45,49,39,51,53,76,DNC,55,337,55
 GBR9093,OWEN,BORDERS,58,74,40,79,DNF,30,68,25,49,344,56
 FRA8948,GUILLOU,CHEVET,72,54,51,29,53,98,57,84,50,366,57
 AUS8855,STOWELL,ATTWELL,75,51,37,32,66,127,43,65,76,369,58
 CAN8970,TENNANT,MUNDELL,40,37,79,69,39,54,126,83,51,369,59
 AUS9061,ROBINSON,PENFOLD,48,66,53,58,42,73,30,108,84,370,60
 FRA8683,JACKSON,LAFORTUNE,57,43,68,40,67,63,60,49,58,370,61
 FRA8515,CROCE,FAUCHEUX,49,34,57,68,82,75,61,68,35,372,62
 USA8554,CONRADS,DIOLA,63,76,78,43,63,31,69,34,73,376,63
 FRA8564,RATOUIS,RATOUIS,116,100,120,36,43,62,46,46,47,380,64
 FRA9024,GACHET,VALERY,66,64,65,33,58,50,50,88,64,384,65
 RSA8719,BIAGLO,HAM,88,60,71,59,68,33,74,39,89,404,66
 GER9029,WALDHEIM,JUNG,60,DSQ,70,66,46,70,62,41,85,415,67
 DEN8828,VAN WONTERGHEM,VAN WONTERGHEM,86,75,64,41,76,100,103,27,57,426,68
 SWE8912,HASTENPFLUG,HASTENPFLUG,47,62,100,30,95,92,111,47,60,433,69
