Nr,Segel Nummer,Mannschaft,Verein,Tot.,Net.,R1,R2,R3,R4
1,GER 9112,Morten Bogacki,Jens Steinborn,5,3,-2,1,1,1
2,GER 9057,Dorothea Gebert,Geeske Genrich,14,8,-6,2,3,3
3,GER 9146,Thure Gnadeberg,Aron Tellen,15,10,4,-5,2,4
4,GER 8806,Anna Hauschild,Alexander Holzapfel,27,11,1,4,-16,6
5,GER 9189,Hendrik Schultz,Ute Oberländer,19,12,-7,6,4,2
6,GER 9149,Thomas Gosch,Rolf Meyer,23,13,-10,3,5,5
7,GER 9135,Jens Biederer,,28,17,3,7,7,-11
8,BEL 8613,Anja Grotheer,Kim Van Assche,36,24,8,-12,8,8
9,POL 8736,Adam Kuczyński,Andrzej Borowiak,42,25,5,10,10,-17
10,GER 9113,Joseph Schütte,Karsten Stümpel,45,27,-18,11,9,7
11,GER 9006,Welf Rehberg,Benjamin Gröger,50,33,-17,17,6,10
12,GER 9054,Anika Wollenbecker,Raik Wollenbecker,46,33,12,9,12,-13
13,GER 9148,Jan Stremlow,Christian Sonntag,51,36,14,8,14,-15
14,GER 8928,Konrad Otto,Martin Lietz,52,37,-15,13,15,9
15,GER 9000,Thorsten Pösch,Georg Mittermayer,54,38,-16,15,11,12
16,GER 8533,Roger Bussenius,Robert Bussenius,56,40,11,-16,13,16
17,GER 8049,Benedict Pearson,Maren Brehme,59,41,9,14,-18,18
18,GER 8691,Harald König,Katja Frühwald-König,69,50,13,18,-19,19
19,GER 8317,Christina Burger,,71,50,(21.0)OCS,19,17,14
20,GER 7848,Axel Dierich,Jürgen Joseph,82,61,(21.0)DNF,21.0DNC,20,20
