Sail,Helm,Crew,Club/Country,r.1,r.2,r.3,r.4,r.5,r.6,r.7,r.8,r.9,Points total,Netto P,Position
DEN 8964,Jan Saugmann,Martin Gorge,HELLERUP - Denmark,9,-14,10,3,1,6,2,-22,3,70,34,1
DEN 9062,Jorgen Bojsen-Moller,Jacob Bojsen-Moller,HELLERUP - Denmark,-13,5,13,8,7,2,1,-29,2,80,38,2
GER 9090,Christian Kellner,Martin Schoeler,HSC - Germany,2,2,2,7,-35,14,3,8,(--- 189),262,38,3
GER 9054,Morten Bogacki,Lars Dehne,DUSSELDORFEN YC - Germany,8,3,6,-50,11,7,11,1,-28,125,47,4
GER 8992,Claas Lehmann,Leon Oehme,NRV - Germany,-27,17,11,5,5,-21,5,9,7,107,59,5
GER 9071,Wolfgang Hunger,Julien Kleiner,PYC - Germany,11,1,(DSQ 189),22,2,8,-44,5,11,293,60,6
AUS 8901,Peter Nicholas,Luke Payne,RFBYC - Australia,6,18,1,-47,6,-29,18,4,8,137,61,7
GER 9035,Stefan Bohm,Gerald Roos,SCV - Germany,1,15,-31,9,14,-57,10,2,13,152,64,8
GER 8875,Jens Findel,Johannes Tellen,KIELER YACHT CLUN - Germany,10,4,8,6,18,-66,24,6,-30,172,76,9
GBR 9094,Ian Pinnel,Ian Mitchell,HISC - Great Britain,3,6,9,-60,37,15,7,-38,1,176,78,10
USA 9091,Edward Conrads,Brian Haines,ST FRANCIS YC/SDYC - United States Of America,20,7,16,1,12,3,-39,-21,21,140,80,11
FRA 9067,Bertrand Loyal,Laurent Nevo,C N MESCHERS - France S R ROCHELAISES,19,19,5,24,-36,1,4,(DNF 189),12,309,84,12
DEN 8958,Nikolaj Buhl,Hewrik Buhl,HELLERUP - Denmark,15,10,4,13,-55,18,15,-31,9,170,84,13
USA 9007,Tyler Moore,Geoff Ewenson,HYC/WYC - United States Of America,-22,12,12,12,4,-19,13,17,18,129,88,14
GER 9102,Meike Schomaker,Jess Holger,ZSK/KYC - Germany,17,16,3,-21,13,4,20,18,-27,139,91,15
USA 9080,Howard Hamlin,Andy Zinn,NHYC - United States Of America,12,9,14,-25,15,5,21,-44,24,169,100,16
GER 9059,Sophie Heyer,Sebastian Salein,JOERSFELDER - Germany,30,(DNF 189),29,2,16,13,6,-60,6,351,102,17
FRA 9076,Xavier Broise,Nicolas Des Jamonieres,S N P H - France C N PENESTIN,14,-33,17,-62,19,24,17,10,4,200,105,18
USA 9002,Mike Holt,Rob Woelfel,SANTA CRUZ YC - United States Of America,5,11,20,(DSQ 189),21,-45,25,14,14,344,110,19
USA 8808,Augie Diaz,Luke Lawrence,CORAL REEF YACHT CLUB - United States Of America,-31,22,30,11,26,9,19,7,-40,195,124,20
GBR 9088,Andy Smith,Tim Needham,NOTTS COUNTY SC - Great Britain,4,8,(DSQ 189),19,32,28,33,11,-56,380,135,21
USA 8722,Macy Nelson,Parry Barclay,WEST RIVER - United States Of America,24,-41,15,10,22,20,-29,28,17,206,136,22
USA 8715,Ethan Bixby,Christopher Brady,United States Of America,-37,25,22,15,20,22,28,-99,20,288,152,23
SWE 8926,Ebbe Rosen,Olle Wenrup,MKS - Sweden,35,13,-48,4,44,38,9,-82,19,292,162,24
