Nr,Sail Number,Team,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,T,N,
GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,1,5,3,3,(19),1,1,12,2,47,28,1
GER 8992,Lutz Stengel,Frank Feller,ROYC,7,2,2,6,1,(16),13.5,2,3,52.5,36.5,2
GER 9043,Nicola Birkner,Angela Stenger,VSAW,4,3,(10),5,8,6,6,1,8,51,41,3
GER 9090,Christian Kellner,Andreas Achterberg,HSC,2,1,(22),4,10,3,3,3,17,65,43,4
GER 8519,Thure Gnadeberg,Aron Tellen,BSV,3,6,(17),8,2,9,5,6,4,60,43,5
GER 9101,Timon Treichel,Morten Roos,DYC,8,8,1,(18),3,10,9,4,1,62,44,6
GER 9146,Julian Stückl,Johannes Tellen,DTYC,6,14,13,1,(15),14,2,7,5,77,62,7
GER 8929,Kai Bertallot,Viktoria Warminski,FSC,12,9,15,2,5,15,(23),5,7,93,70,8
DEN 912,Jens Olbrysch,Oliver Thies,HSC,5,(29),4,17,7,5,15,8,9,99,70,9
GER 9149,Andreas Bock,Rolf Meyer,BYC,(16),12,8,7,11,4,8,13,15,94,78,10
GER 8956,Bernd Rasenack,Stefan Brückner,ZSK,14,15,(21),11,4,17,7,9,6,104,83,11
AUS 9134,Michael Quirk,Curtis Hartmann,129.5,4,16,(36),UFD,26,2,13.5,11,10,93.5,11,12
GER 9133,Frieder Achterberg,Wolfgang Stückl,DTYC,(25),25,9,10,21,8,4,15,11,128,103,13
GER 9006,Michael Rehberg,Ricarda Wolf,,13,11,14,20,6,(25),10,21,18,138,113,14
GER 8975,Maike Roos,Maren Roos,SVWU,23,13,12,12,14,(24),18,10,13,139,115,15
GER 8999,Helen Fischer,Sven Meding,,18,16,6,19,22,11,12,18,(25),147,122,16
GER 8463,Moritz Bruhns,Viktoria Warminski,BYC,21,7,25,9,13,13,(32),16,22,158,126,17
GER 9182,Alexander Holzapfel,Michael Freitag,PSVK,10,22,7,24,(28),23,17,17,16,164,136,18
GER 9161,Walter Steding,Hans-Werner Steding,HSC,17,10,(33),15,18,29.5,19,29,12,182.5,149.5,19
GER 9035,Ronald Roos,Kirsten Roos,SVWU,19,20,18,(28),24,18,26,20,19,192,164,20
GER 8947,Ralf Schneidewind,Philipp Müller,SLRV,15,17,26,16,9,27,20,(36) DNC,36 DNC,202,166,21
GER 8875,Torsten Simon,Carsten Fischbach,SCA,26,23,(31),25,12,31,11,23,20,202,171,22
GER 9169,Tim Böger,Finn Böger,HSC,9,30,35,14,20,(36) DNF,36 DNC,14,14,208,172,23
GER 8849,Henrik Schade,Fabian Vergil,WVW,20,19,24,26,(34),7,24,25,29,208,174,24
GER 9057,Philipp Sudbrack,Nick Heuwinkel,BSV,22,(32),29,13,23,22,16,24,27,208,176,25
GER 8458,Robert Bautz,Sascha Spors,ASVZR,(35),31,23,32,16,21,21,19,28,226,191,26
GER 913,Jens Biederer,Thomas Wasilewski,HSC,29,24,27,(33),27,20,25,22,24,231,198,27
AUS 9028,Earle Alexander,Arne Lanatowitz,Darling Point SS,24,26,28,22,(32),19,31,28,21,231,199,28
GER 9189,Hendrik Schultz,Thorsten Koch,SCLW,31,(36) DNC,5,21,33,12,27,36 DNC,36 DNC,237,201,29
GER 8806,Anna Hauschild,Andreas Lutz Körnig,SCS,27,21,20,27,(29.5),28,29,26,23,230.5,201,30
GER 9141,Konrad Otto,Martin Lietz,SG Seeburg Segek e.V.,28,18,11,29,25,29.5,30,(36) DNC,36 DNC,242.5,206.5,31
GER 9000,Thorsten Pösch,Moritz Lüther,SCSZ,(34),34,19,31,29.5,32,22,27,26,254.5,220.5,32
GER 9113,Joseph Schütte,Karsten Stümpel,SLRV,30,27,32,30,17,26,28,(36) DNC,36 DNC,262,226,33
GER 8533,Roger Bussenius,Robert Bussenius,SCOH,33,28,34,23,(35),33,34,30,30,280,245,34
GER 9123,Enno Wilts,Martin Bernauer,OSG,32,33,30,(34),31,34,33,31,31,289,255,35
