Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
USA,8854,Craig Thompson,,USA 8854,2,1,1,2,1,7,1
USA,9007,Matt Barry,,License to Kill,5,5,4,1,2,17,2
USA,8930,Ted Ferrarone,,USA 8930,3,4,5,3,3,18,3
USA,8850,Sol Marini,,Marini,7,8/TLE,7,4,4,30,4
USA,8013,Jonathan Wenderoth,,AMF,9,8/TLE,6,5,5,33,5
USA,8194,Thomas Kivney,,Katiebear,4,2,2,15/DNC,15/DNC,38,6
USA,8012,Whit Duncan,,505,8,6,3,7,15/DNC,39,7
USA,8919,Bryan Richardson,,Safety Word,6,8/TLE,8,6,15/DNC,43,8
USA,8830,Andrew Buttner,,Kokatat,1,3,15/DNC,15/DNC,15/DNC,49,9
USA,7685,Bill Platt,,Boat,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,75,10
USA,7346,Eric Ristad,,USA 7346,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,75,11
USA,6985,Michael Breton,,No Surrender,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,75,12
USA,8939,John Wyles,,Silver Seahorse,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,75,13
USA,8083,Nathan Rosenberg,,The Bassmaster,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,75,14
