Place,Sail #,Skipper,Crew,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Drop,Total
1,8830,Mark Zagol,Drew Buttner,5,4,1,2,6,1,6,13
2,8715,Ethan Bixby,Chris Brady,2,3,10,4,3,2,10,14
3,8808,Augie Diaz,Rob Woelfe,3,2,2,5,8,6,8,18
4,9095,Macy Nelson,Reeve Dunne,6,8,6,3,1,3,8,19
5,9138,Tyler Moore,Patrick O’Brien,8,5,4,1,4,5,8,19
6,8838,Mike Holt,Carl Smit,1,7,3,6,5,7,7,22
7,8722,Nick Nelson,Kelsey Averil,9,1,5,9,9,10,10,33
8,9041,Henry Amthor,Dustin Romey,7,12,8,8,2,8,12,33
9,8851,Amie Heubner,Ted Heubner,11,6,14,7,7,4,14,35
10,8814,Lin Robson,Stephen Long,4,9,9,12,11,12,12,45
11,7346,Andrew Jones,Jesse Falsone,14,13,7,11,12,9,14,52
12,7879,Lauren Schoene,Alexander Meller,10,10,13,15,10,11,15,54
13,8822,David Burchfiel,Andy Forman,12,11,12,10,13,13,13,58
14,8593,Nathaniel Plant,Shelia Plan,13,14,11,13,14,14,14,65
