Place,Sail,Helm,Crew,Club,Brutto,Netto,R1,R2,R3,R4,Discard(s) after race : 5;
1,GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,6,6,1,1,3,1,
2,GER 9133,Frieder Achterberg,Morten Roos,DTYC,11,11,4,1,3,3,
3,GER 9189,Hendrik Schultz,Ute Oberländer,SCLW,11,11,3,2,4,2,
4,GER 9070,Lena Stückl,Jakob Achterberg,DTYC,13,13,2,5,2,4,
5,GER 189,Karsten Contag,Thorsten Koch,SCLW,20,20,5,4,5,6,
6,GER 9100,Nathalie Zeiler,Claudius Zeiler,SCLW,24,24,7,6,6,5,
7,GER 8861,Wolfgang Seifert,Ivonne Seifert,SCLW,33,33,6,9,7,DNS,
8,GBR 9159,Michael Eller,Ulli Heerdegen,SCLW,38,38,9,7,DNS,DNS,
9,GER 8518,Achim Funk,Jochen Heydolph,SCLW,38,38,8,8,DNS,DNS,
10,GER 9195,Julian Stückl,Dirk Penno,DTYC,44,44,DNS,DNS,DNS,DNS,
