,helm,crew,club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Σ,Regatta Rank
 USA 9106,Martin,Lowry,,30,43,1,1,4,2,1,2,5,16,1
 USA 9072,Mike Holt,Carl Smit,,12,8,15,5,13,3,2,4,2,36,2
 GER 9152,Hunger,Kleiner,,11,12,6,RET,9,5,5,3,1,40,3
 USA 9173,Moore,Buttner,,5,36,4,20,3,9,7,8,4,40,4
 GBR 9131,Batchelor,Pascoe,,3,9,7,2,1,14,11,12,17,45,5
 GBR 9163,Pinnell,Davies,,2,13,2,4,18,8,12,7,19,48,6
 GBR 9088,Smith,Needham,,DNF,19,11,RET,8,1,3,1,6,49,7
 USA 9153,Hamlin,Zinn,,7,44,13,7,10,4,4,5,23,50,8
 GER 9101,Treichel,Roos,,19,23,27,9,14,7,16,11,3,79,9
 GER 9146,Jens Findel,Johannes Tellen,,24,5,20,3,16,10,18,10,DNC,82,10
 DEN 9121,Bojsen-Møller,Bojsen-Møller,,8,18,30,6,2,26,22,26,10,92,11
 AUS 8890,Higgins,Johnston,,18,46,9,25,15,25,6,21,8,102,12
 GBR 9143,Lovering,Alvarado,,66,33,5,24,21,11,21,9,21,112,13
 GER 9135,Böhm,Roos,,41,20,56,21,11,6,8,6,DSQ,113,14
 DEN 9128,Hoffmann Buhl,Buhl,,40,64,12,33,7,18,26,13,11,120,15
 GBR 9177,Gillard,Anderton,,4,49,28,29,17,17,10,25,22,123,16
 GBR 9085,Walters,Cram,,14,32,10,8,19,RET,27,14,44,124,17
 FRA 9075,Boite,Cortel,,21,4,35,19,28,50,30,16,9,127,18
 RSA 8905,Willcox,Willcox,,26,24,19,12,23,16,15,20,26,129,19
 AUS 9105,Nicholas,Hawes,,9,11,18,18,34,12,RET,31,31,130,20
 DEN 9118,Jan Sauqmann,Jakob Karbo,,10,1,16,62,24,31,54,27,30,139,21
 USA 9102,Hagan,Duffield,,16,15,43,17,6,24,47,29,42,149,22
 GBR 9124,Scutcher,Diebitsch,,32,29,14,39,27,RET,13,17,25,157,23
 GER 8929,Bertallot,Reifferscheidt,,36,35,17,13,5,RET,38,19,39,163,24
 SUI 8614,Stauffer,Jacot,,13,14,39,36,35,21,14,RET,32,165,25
 GER 9169,Böger,Schöner,,50,66,37,43,12,29,17,24,7,169,26
 CAN 8970,Tennant,Bourdow,,55,30,8,10,31,28,24,42,40,171,27
 AUS 9061,Cameron,Heritage,,33,37,26,42,51,27,9,15,24,171,28
 GBR 8963,Hodgson,Miles,,51,6,45,11,22,62,37,28,27,176,29
 SUI 9147,Jacot,Jacot,,39,16,46,14,43,23,53,32,12,179,30
 USA 8808,Diaz,Nelson,,52,22,22,23,38,20,36,18,38,179,31
 GBR 9174,Upton-Brown,Mitchell,,31,48,3,41,20,13,85,58,28,184,32
 AUS 9134,Quirk,Dunn,,1,10,24,50,47,33,RET,39,35,189,33
 SUI 9096,Bart,Grob,,6,31,RET,27,67,34,33,41,18,190,34
 RSA 9063,Largier,Hutton-Squire,,34,38,36,22,25,19,RET,DNC,16,190,35
 USA 9095,Nelson,Anderson,,22,54,29,28,32,39,65,34,15,199,36
 AUS 9167,Lott,Franks,,20,57,23,46,48,35,23,33,20,200,37
 GER 8975,Holzapfel,Böger,,46,25,31,16,29,38,34,53,29,202,38
 USA 9168,Edwards,Mundell,,28,34,RET,40,26,15,19,47,59,209,39
 GER 9171,Giesler,Böhm,,23,50,49,47,30,32,28,43,14,217,40
 AUS 9028,Alexander,Bowden,,27,42,44,26,33,36,25,38,34,219,41
 SUI 8613,Marti,Betschen,,60,21,42,69,37,DSQ,42,23,13,238,42
 RSA 9094,Funke,Funke,,25,45,54,35,39,40,40,37,37,253,43
 AUS 9110,Stowell,Attwell,,45,27,25,57,RET,46,41,30,50,264,44
 FRA 9150,De Kergariou,Geron,,48,26,57,71,41,78,35,36,33,276,45
 GER 8519,Gnadeberg,Tellen,,37,2,47,52,36,58,46,57,74,277,46
 GER 8720,Tasche,Tasche,,49,53,33,45,40,52,43,35,49,294,47
