Nation,Sail no,Skipper,Crew,Boat,1,2,3,4,5,6,7,8,9,Points,Pos
USA,9095,Macy Nelson,Eric Anderson,,3,2,3,2,1,1,3,4,4,23,1
USA,9003,Henry Amthor,Jesse Falsone,Jesse & Henry,1,4,2,1,6,3,2,3,5,27,2
USA,7606,Brendan Connell,Brendan Heusler,,4,3,4,4,4,2,5,1,1,28,3
USA,8850,Doug Watson,Gabe Watson,,5,6,6,8,2,6,6,8,6,53,4
USA,8822,David Burchfiel,Andy Forman,,7,5,7,6,8,4,7,6,3,53,5
IRL,8987,Peter Scannell,John Dunlea,Lookadatla,2,1,1,3,3,5,13,13,13,54,6
USA,8722,David Waiting,Natalie Burls,,8,8,9,9,9,8,8,7,7,73,7
USA,8244,Paul Andron,Alexander Meller,,6,7,8,7,7,7,13,13,13,81,8
USA,9138,Tyler Moore,Patrick O'Bryan,,13,13,13,13,13,13,1,2,2,83,9
USA,7197,Thomas Sitzmann,Colin Robertson,,13,13,5,5,5,13,13,13,13,93,10
USA,7200,Ali Meller,,,13,13,13,13,13,13,4,5,13,100,11
USA,8766,Ian Conners,,,13,13,13,13,13,13,13,13,13,117,12
