,helm,cewq,club,,,,,,,,,,,,,,
1.,Howard Hamlin,Andy Zinn,Long Beach,,CA,USA,1,-1,-2,-2,-1,-1,-4,-1,-[5],;,13
2.,Chris Behm,Jesse Falsone,Edgewater,MD,USA,3,-5,-11,-5,-[14],-3,-3,-4,-4,;,38,
3.,Ted Conrads,Jeff Nelson,Mill,Valley,CA,USA,5,-4,-12,-1,-3,-4,-1,-9,-[13],;,39
4.,Craig Thompson,Mike Curtin,Rye,NH,USA,4,-2,-3,-6,-7,-2,-[10],-8,-8,;,40,
5.,Tyler Moore,Rob Woelfel,Hampton,VA,USA,[26],-11,-4,-3,-8,-6,-2,-2,-6,;,42,
6.,Michael Quirk,Curtis Hartmann,Kensington,MD,USA,[10],-3,-8,-4,-2,-5,-8,-7,-10,;,47,
7.,Mark Zagol,Drew Buttner,Westwood,MA,USA,7,-7,-1,-[16],-12,-8,-15,-5,-3,;,58,
8.,Chris Segerblom,Eric Anderson,Mountain,View,CA,USA,9,-10,-[13],-11,-4,-9,-13,-3,-1,;,60
9.,Henry Amthor,Reeve Dunne,Hampton,VA,USA,[16],-13,-10,-8,-9,-7,-7,-6,-2,;,62,
10.,Matthew Barry,Thomas Barrows,New,York,NY,USA,2,-6,-6,-10,-6,-10,-6,-17,-[18],;,63
11.,Macy Nelson,Russell Miller,Baltimore,MD,USA,6,-9,-5,-15,-[26],-16,-5,-10,-9,;,75,
12.,Thomas Kivney,Gordon Russell,.Williamstown,MA,USA,8,-8,-9,-9,-5,-19,-[22],-12,-11,;,81,
13.,Michael Komar,John Ingalls,Newport,RI,USA,11,-17,-15,-7,-[26],-15,-9,-11,-12,;,97,
14.,Lin Robson,Unknown,St. Petersburg,Beach,FL,USA,17,-12,-7,-17,-11,-18,-14,-[20],-19,;,115
15.,Barney Harris,Unknown,arlington,va,USA,19 -14,-[20],-12,-10,-20,-16,-15,-17,;,123,,
16.,Duane Delfosse,Stuart Park,Windham,NH,USA,12,-19,-14,-[26],-26,-12,-17,-14,-14,;,128,
17.,Dan Herlihy,Jay Smith,Richmond,VA,USA,13,-16,-[26],-26,-26,-13,-12,-16,-15,;,137,
18.,Peter Scannell,Tom Hurwitch,Saratoga,Springs,NY,USA,[26],-26,-26,-13,-13,-22,-19,-13,-7,;,139
19.,Catherine Guiader,Chris Brady,Annapolis,MD,USA,18,-20,-18,-[26],-26,-11,-11,-18,-20,;,142,
20.,Marek Balinski,Unknown,Toronto,Ont,CAN,21 -21,-16,-14,-[26],-14,-21,-21,-21,;,149,,
21.,Doug Watson,Gabe Watson,Baltimore,MD,USA,14,-18,-21,-[26],-26,-21,-20,-19,-16,;,155,
22.,Marie Gendron,Unknown,St-Zotique,Quebec,CAN,20 -22,-19,-[26],-26,-17,-18,-22,-26,;,170,,
23.,Michael Breton,Unknown,Charlestown,RI,USA,15 -15,-17,-[26],-26,-26,-26,-26,-26,;,177,,
24.,Bill Platt,Unknown,Madison,CT,USA,[26] -26,-26,-26,-26,-26,-26,-26,-26,;,208,,
25.,Mike Martin,Adam Lowry,Mill,Valley,CA,USA,[26],-26,-26,-26,-26,-26,-26,-26,-26,;,208
