#,helm,crew,Club,R1,R2,R3,R4,R5,R6,R7,Σ,Regatta Rank
RSA 9063,Largier,Hutton-Squire,,49,31,70,63,52,51,33,279,50
GER 8928,Schweiger,Koch,,58,70,55,55,26,54,39,287,51
FIN 8768,Nieminen,Salonen,,59,DNC,38,59,46,35,50,287,52
GER 9029,Hannes Wagner,Thölmann,,27,52,72,DNC,47,49,41,288,53
AUS 9028,Earle Alexander,Bowden,,71,61,45,40,70,33,51,300,54
FIN 8873,Hyysalo,Kääpä,,DNC,48,67,42,50,66,38,311,55
SWE 8945,Söderström,Johan Calvert,,64,DPI,62,62,40,50,44,322,56
GBR 9125,Roger Deane,Nurse,,67,53,99,52,83,31,48,334,57
GBR 9093,Tudor Owen,Kieth Borders,,54,60,31,73,67,52,DNC,337,58
GER 8519,Gnadeberg,Tellen,,57,DNC,46,86,48,70,46,353,59
SWE 8651,Andersson,Thörnström,,48,DNC,39,44,80,71,74,356,60
GER 9113,Stückl,Henning,,44,35,9,25,85,DNS,DNC,360,61
FIN 8927,Lindfors,Halonen,,61,DNC,74,57,57,55,63,367,62
GBR 9085,Lewns,Jarrod,,19,33,50,54,58,DNC,DNC,376,63
AUS 8920,Robinson,Penfold,,51,39,59,81,92,65,DNC,387,64
GER 9046,Thomas Gosch,Antje Gosch,,63,73,61,58,77,92,56,388,65
SUI 9096,Cédric Bart,René Betschen,,28,26,43,41,DNF,DNC,DNC,395,66
GER 9020,Jörn Wille,Martin Bergmann,,66,69,77,69,76,43,75,398,67
RSA 9026,Hasso Plattner,Peter Alarie,,65,67,52,88,71,83,60,398,68
GER 8903,Kwee,Spötter,,74,54,66,65,74,74,65,398,69
GER 9043,Birkner,Stenger,,68,63,71,85,59,59,80,400,70
GER 9100,Schultz,Oberländer,,62,DNC,68,48,66,64,94,402,71
GER 8702,Handel,Böhringer,,69,68,75,61,65,68,DNC,406,72
GER 9023,Max Eisenrieder,Penno,,97,50,78,72,82,87,57,426,73
GER 9000,Martin Bernauer,Enno Wilts,,73,56,81,79,103,80,66,435,74
FRA 9050,De Kergariou,Gèron,,DNC,DNC,28,50,61,73,62,436,75
GER 8686,Rentelmann,Hintz,,100,71,58,56,79,72,DNF,436,76
SWE 8912,Tom Hastenpflug,Toni Hastenpflug,,DNC,DNC,41,46,51,79,61,440,77
FRA 9031,Philippe Lucienne,Vivien Lucienne,,101,91,103,71,68,53,59,443,78
RSA 8725,Ham,Lanatowitz,,77,DNF,79,67,73,78,69,443,79
FRA 8677,Nicolas Michel,Laurent Michel,,90,77,94,75,64,76,67,449,80
SUI 8961,Utiger,Heilig,,89,76,108,99,44,61,82,451,81
FRA 8431,Le Roy,Ancelot,,88,78,104,90,94,58,70,478,82
GER 8988,Mittermayer,Barteldt,,92,59,85,76,102,98,72,482,83
GER 8825,Michael Troch,Birgit Hartmann,,86,62,119,DNC,106,47,64,484,84
GER 8843,Kraft,Heimburger,,102,74,80,66,108,101,76,499,85
AUS 8922,Bowden,Bath,,82,80,88,68,84,104,DNC,506,86
GER 8500,Menge,Kühne,,DNC,72,84,74,113,75,96,514,87
GER 9102,Steding,Steding,,96,DNC,82,97,75,84,83,517,88
GBR 8881,Mcgillivray,Mcgilivray,,78,81,83,92,114,86,97,517,89
SWE 8837,Lawner,Gustavsson,,103,79,91,82,115,95,93,543,90
AUS 8637,Cronin,Whitbread,,123,65,111,83,104,94,88,545,91
GER 8744,Lutz Kandzia,John Christiansen,,91,DNC,100,89,97,82,87,546,92
FRA 8676,Dechauffour,Gendry,,126,DNC,65,78,62,DNC,55,548,93
GER 8874,Steffen,Giesen,,81,93,120,98,112,67,98,549,94
GER 8964,Iris Anton,Bruno Laudage,,93,87,107,DNC,98,81,84,550,95
SWE 7017,Mack,Johannisson,,72,89,112,100,105,93,92,551,96
GER 8741,Anton,Denecke,,85,DNC,76,DNC,78,89,86,576,97
ITA 8916,Marco Giraldi,Mclean,,124,83,DNC,DNC,91,57,77,594,98
FRA 8898,Nicolas,Nicolas,,108,82,117,96,122,96,99,598,99
GER 8437,Davina Schlesiger,Marvin Schlesiger,,99,DNC,97,84,90,DNF,DNC,602,100
AUS 9022,Burford,Christie,,87,DNC,90,70,126,DNC,68,603,101
DEN 8828,Fabiola Wonterghem,Michael Wonterghem,,76,DNC,64,DNC,55,88,DNC,607,102
GER 8958,Nicholas Melzwig,Axel Priegann,,34,DNC,DNC,DNC,42,46,DNF,608,103
POL 8802,Mateusz Jura,Bartosz Chroł,,128,DNC,131,91,87,85,91,613,104
FRA 8820,Di Pede,Toupet,,DNC,DNC,86,DNC,69,69,71,619,105
GER 8849,Bohnenberger,Wolffram,,110,92,116,DNC,100,100,110,628,106
GER 8533,Roger Bussenius,Robert Bussenius,,114,86,114,94,119,105,DNC,632,107
FRA 9084,Jacques Dechauffour,Sabine Dechaffour,,119,DNC,124,87,101,110,104,645,108
FIN 8659,Kira Maisniemi,Dillemuth,,DNC,DNC,109,77,120,103,85,656,109
GER 9114,Mats Westholm,Fox,,104,85,DNC,DNC,96,106,106,659,110
SWE 8923,Lars Hultgren,Axel Hultgren,,98,DNC,92,93,117,109,DNS,671,111
DEN 8472,,Andersen,,121,DNC,110,102,129,107,112,681,112
GER 8370,Felix Graff,Stephan Graff,,122,DNC,125,103,130,113,103,696,113
GER 8720,Tasche,Frederik,,DNC,DNC,21,29,DNF,DNC,DNC,698,114
FIN 8466,Hannu Pöyry,Juha Pietilä,,DNC,DNC,96,DSQ,95,108,78,701,115
GER 8721,Czeninga,Lietz,,DSQ,88,121,DNC,133,97,109,710,116
FRA 9024,Kleber Valery,De Monteils,,75,58,93,DNC,DNS,DNC,DNC,712,117
GER 8932,Christian Henge,Katja Henge,,DNC,DNC,129,95,121,102,107,716,118
GER 9040,Dasenbrook,Meier,,23,47,DNC,DNC,DNC,DNC,DNC,718,119
GER 8619,Dachs,Alberts,,80,DNC,DNC,DNC,89,DNF,73,728,120
SWE 8787,Johansson,Ekberg,,109,75,DNC,DNC,128,DNF,95,731,121
GER 8527,Weiß,Weiß,,DNC,DNC,118,DNC,109,99,81,731,122
FRA 9086,Neidhart,Gougeon,,105,DNC,105,DNC,111,91,DNF,736,123
GBR 8974,Neil Fulcher,Grogin,,70,DNC,98,DNC,88,DNC,DNC,742,124
RSA 8948,Anthony Parker,Ferdinand Holm,,DNC,DNC,133,DNC,99,77,111,744,125
GER 8901,Mario Tirre,Wille,,113,90,95,DNC,127,DNF,DNC,749,126
POL 8358,Karol Milewski,Bartosz Milewski,,106,DNC,DNC,101,110,DNF,108,749,127
GER 8531,Anna Hauschild,Friedrichs,,83,DNC,DNC,DNC,93,DNC,105,767,128
GER 8550,Hauschild,Heyder,,DNC,DNC,89,DNC,123,DNC,79,777,129
FIN 8127,Raita,Nurmela,,94,DNC,DNC,DNC,107,90,DNC,777,130
FRA 8950,Eric Quémard,Nicolas Picquerey,,130,DNC,122,DNC,134,117,113,778,131
POL 8665,Marcin Panek,Przemysław Rzepecki,,129,DNC,115,DNC,DNC,112,100,780,132
GBR 9036,Martin Wedge,Scott Allen,,79,DNC,DNC,DNC,60,DNC,DNC,787,133
GER 8775,Sell,Gewinn,,84,DNC,101,DNC,116,DNF,DNF,787,134
AUT 8921,Schmidt,Mayrhofer,,111,DNF,106,DNC,DNC,DNS,102,805,135
GER 8480,Marc Köster,Thorben Köster,,112,DNC,123,DNF,DNC,DNC,89,810,136
GER 8654,Müller,Eilenstein,,116,DNC,DNC,DNC,118,DNF,90,810,137
GER 8373,Kinder,Leitzke,,DNC,DNC,69,104,RET,RET,DNF,821,138
GER 8999,Söllner,Stümpel,,95,DNC,87,DNC,DNF,DNF,DNC,830,139
GER 8493,Pösch,Baumann,,127,DNC,102,DNF,125,DNC,DNC,840,140
DEN 9109,Genefke,Finn,,DNF,DNC,126,DNC,124,114,DNF,850,141
GER 8730,Misbach,Dillmann,,117,DPI,DNC,DNC,DNC,DNC,DNC,857,142
SWE 9092,Knut Hastenpflug,Jana Hastenpflug,,118,DNC,128,DNC,131,DNC,DNC,863,143
GER 8777,Woolman,Franscisco Sanguino-Petersen,,115,DNC,DNC,DNC,DNC,DNC,101,864,144
SWE 8848,Bjerke,Reinhold,,107,DNC,113,DNC,DNF,DNC,DNC,868,145
GER 8473,Bökle,Bökle,,DNC,DNC,DNC,DNC,132,111,DNC,891,146
GER 8630,Lankenau,Schipler,,DNF,DNF,132,DNC,DNF,115,DNF,895,147
GER 8947,Schneidewind,Schürmann,,DNC,DNC,DNC,DNC,86,DNF,DNC,896,148
GER 8966,Dierker,Schlüter,,DNC,DNC,DNC,DNC,136,116,DNC,900,149
GER 8505,Wichtrup,Tirre,,120,DNC,DNC,DNC,135,DNC,DNC,903,150
GER 8622,Hilmer Goedeking,Michael Schoefer,,125,DNF,DNF,DNC,137,DNC,DNC,910,151
GER 8989,Brinkbäumer,Feuchtenhofer,,DNC,DNC,127,DNC,DNC,DNF,DNF,937,152
GER 8469,Ehlers,Afken,,DNC,DNC,130,DNC,DNC,DNC,DNC,940,153
GER 8052,Feuerhake,Nehrenberg,,DNC,DNC,DNC,DNC,DNC,DNC,DNC,972,154
SWE 9107,Flood,Rodhe,,DNC,DNC,DNF,DNC,DNF,DNC,DNC,972,155
GER 8634,Hofmann,Brix,,DNC,DNC,DNC,DNC,DNC,DNC,DNC,972,156
SUI 9060,Houriet,Donzé,,DNC,DNC,DNC,DNC,DNC,DNC,DNC,972,157
GER 8670,Theo Kohl,Juliane Kohl,,DNC,DNC,DNC,DNC,DNF,DNC,DNC,972,158
GER 9129,Plattner,Alarie,,DNC,DNC,DNC,DNC,DNC,DNC,DNC,972,159
GER 8956,Rasenack,Brückner,,DNC,DNC,DNC,DNC,DNC,DNC,DNC,972,160
GER 8991,Schmidt,Sjuts,,DNC,DNC,DNC,DNC,DNC,DNC,DNC,972,161
